Soil Type,Moisture Content (%),Wilting Point (%),Recommended Fertilizers
Loamy Sand,18.37,9.16,"Organic Fertilizer, Nitrogen"
Silty Clay,38.06,35.85,"Micro-Nutrients, Potash"
Silty Clay,37.16,37.62,"Micro-Nutrients, Potash"
Loamy Sand,17.72,8.52,"Organic Fertilizer, Nitrogen"
Silty Clay,37.98,36.65,"Micro-Nutrients, Potash"
Clay Loam,31.12,27.61,"Nitrogen, Potassium, Phosphorus"
Loam,21.48,15.82,"Compost, Nitrogen, Phosphorus"
Loam,29.01,12.72,"Compost, Nitrogen, Phosphorus"
Sand,8.06,2.52,"Nitrogen, Potassium"
Loamy Sand,10.63,9.91,"Organic Fertilizer, Nitrogen"
Clay,33.87,35.64,"Urea, Potassium, Nitrogen"
Loam,26.24,15.98,"Compost, Nitrogen, Phosphorus"
Sand,12.72,2.54,"Nitrogen, Potassium"
Silty Clay,34.29,31.67,"Micro-Nutrients, Potash"
Loam,28.92,17.21,"Compost, Nitrogen, Phosphorus"
Loam,24.17,17.21,"Compost, Nitrogen, Phosphorus"
Sandy Clay Loam,27.01,33.4,"DAP (Diammonium Phosphate), Nitrogen"
Clay Loam,37.37,34.01,"Nitrogen, Potassium, Phosphorus"
Silt Loam,27.02,20.27,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,39.62,22.43,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay Loam,33.97,20.96,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,30.46,32.54,"Micro-Nutrients, Potash"
Silty Clay Loam,31.78,27.15,"Potash, Nitrogen, Micro-Nutrients"
Silt Loam,31.53,15.1,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,34.61,26.08,"Potash, Nitrogen, Micro-Nutrients"
Loamy Sand,11.48,5.21,"Organic Fertilizer, Nitrogen"
Sandy Clay Loam,33.62,30.65,"DAP (Diammonium Phosphate), Nitrogen"
Clay,33.4,49.88,"Urea, Potassium, Nitrogen"
Silty Clay Loam,38.47,23.58,"Potash, Nitrogen, Micro-Nutrients"
Clay,34.62,44.74,"Urea, Potassium, Nitrogen"
Sand,7.96,2.09,"Nitrogen, Potassium"
Loamy Sand,16.31,8.35,"Organic Fertilizer, Nitrogen"
Silty Clay,33.62,36.54,"Micro-Nutrients, Potash"
Silty Clay Loam,30.85,23.32,"Potash, Nitrogen, Micro-Nutrients"
Sandy Loam,18.16,10.98,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay Loam,36.14,32.46,"Nitrogen, Potassium, Phosphorus"
Silty Clay,33.74,31.63,"Micro-Nutrients, Potash"
Silt Loam,29.52,23.13,"Phosphorus, Nitrogen, Potash"
Loamy Sand,18.84,9.77,"Organic Fertilizer, Nitrogen"
Clay Loam,35.14,28.41,"Nitrogen, Potassium, Phosphorus"
Silty Clay,33.11,35.49,"Micro-Nutrients, Potash"
Sandy Loam,24.9,14.76,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay Loam,35.87,25.4,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,29.86,32.69,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,29.61,34.61,"DAP (Diammonium Phosphate), Nitrogen"
Loam,23.13,18.36,"Compost, Nitrogen, Phosphorus"
Sandy Clay Loam,31.9,29.02,"DAP (Diammonium Phosphate), Nitrogen"
Sand,11.77,1.56,"Nitrogen, Potassium"
Silty Clay,32.21,36.27,"Micro-Nutrients, Potash"
Sandy Loam,24.72,14.97,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Loam,18.53,10.05,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Clay Loam,26.69,34.96,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay Loam,36.55,22.68,"Potash, Nitrogen, Micro-Nutrients"
Sand,5.23,4.97,"Nitrogen, Potassium"
Sand,12.79,6.29,"Nitrogen, Potassium"
Silt Loam,29.25,15.63,"Phosphorus, Nitrogen, Potash"
Clay Loam,30.97,25.89,"Nitrogen, Potassium, Phosphorus"
Sandy Clay Loam,27.7,28.85,"DAP (Diammonium Phosphate), Nitrogen"
Clay Loam,35.09,32.47,"Nitrogen, Potassium, Phosphorus"
Sand,14.09,5.96,"Nitrogen, Potassium"
Loam,22.75,19.48,"Compost, Nitrogen, Phosphorus"
Clay Loam,31.25,31.94,"Nitrogen, Potassium, Phosphorus"
Silt Loam,30.12,15.4,"Phosphorus, Nitrogen, Potash"
Loamy Sand,12.79,5.8,"Organic Fertilizer, Nitrogen"
Loamy Sand,16.67,8.87,"Organic Fertilizer, Nitrogen"
Sand,7.36,1.12,"Nitrogen, Potassium"
Loamy Sand,16.68,5.41,"Organic Fertilizer, Nitrogen"
Loamy Sand,19.15,6.01,"Organic Fertilizer, Nitrogen"
Silt Loam,28.1,22.6,"Phosphorus, Nitrogen, Potash"
Silt Loam,31.58,15.79,"Phosphorus, Nitrogen, Potash"
Loamy Sand,17.42,5.17,"Organic Fertilizer, Nitrogen"
Loamy Sand,19.88,8.16,"Organic Fertilizer, Nitrogen"
Clay,31.96,39.95,"Urea, Potassium, Nitrogen"
Clay,28.71,45.03,"Urea, Potassium, Nitrogen"
Clay,32.6,40.01,"Urea, Potassium, Nitrogen"
Loam,21.34,12.85,"Compost, Nitrogen, Phosphorus"
Sand,13.53,2.22,"Nitrogen, Potassium"
Silt Loam,32.02,17.87,"Phosphorus, Nitrogen, Potash"
Loam,26.61,14.18,"Compost, Nitrogen, Phosphorus"
Silty Clay,36.6,34.63,"Micro-Nutrients, Potash"
Sandy Loam,23.94,14.97,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay,27.88,42.56,"Urea, Potassium, Nitrogen"
Clay,26.47,35.61,"Urea, Potassium, Nitrogen"
Clay,26.49,45.97,"Urea, Potassium, Nitrogen"
Clay,34.29,46.68,"Urea, Potassium, Nitrogen"
Sand,11.99,2.94,"Nitrogen, Potassium"
Silt Loam,31.44,20.42,"Phosphorus, Nitrogen, Potash"
Clay Loam,36.42,25.73,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,39.6,26.51,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,26.49,28.12,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,32.93,28.79,"DAP (Diammonium Phosphate), Nitrogen"
Loamy Sand,18.89,5.51,"Organic Fertilizer, Nitrogen"
Silty Clay,36.3,39.34,"Micro-Nutrients, Potash"
Clay,31.82,38.2,"Urea, Potassium, Nitrogen"
Clay,31.59,49.12,"Urea, Potassium, Nitrogen"
Loam,20.79,18.43,"Compost, Nitrogen, Phosphorus"
Sandy Clay Loam,33.65,29.67,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,31.08,32.45,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Loam,22.75,10.95,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sand,11.09,4.72,"Nitrogen, Potassium"
Silty Clay Loam,31.27,22.5,"Potash, Nitrogen, Micro-Nutrients"
Loam,20.85,14.11,"Compost, Nitrogen, Phosphorus"
Sandy Loam,20.34,11.75,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Clay Loam,34.86,27.48,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,33.25,38.78,"Micro-Nutrients, Potash"
Loamy Sand,13.58,8.82,"Organic Fertilizer, Nitrogen"
Silty Clay,35.09,31.25,"Micro-Nutrients, Potash"
Silty Clay Loam,37.49,24.72,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,34.57,37.64,"Micro-Nutrients, Potash"
Silt Loam,28.86,15.7,"Phosphorus, Nitrogen, Potash"
Clay Loam,37.12,31.98,"Nitrogen, Potassium, Phosphorus"
Clay,28.58,45.44,"Urea, Potassium, Nitrogen"
Sandy Clay Loam,30.35,32.03,"DAP (Diammonium Phosphate), Nitrogen"
Sand,10.0,7.07,"Nitrogen, Potassium"
Loamy Sand,11.2,7.94,"Organic Fertilizer, Nitrogen"
Sandy Loam,24.34,10.28,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay,33.85,39.22,"Urea, Potassium, Nitrogen"
Silt Loam,32.17,19.94,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,39.49,20.51,"Potash, Nitrogen, Micro-Nutrients"
Clay Loam,35.53,33.86,"Nitrogen, Potassium, Phosphorus"
Sandy Clay Loam,29.45,30.22,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Loam,19.7,12.96,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loam,22.68,17.83,"Compost, Nitrogen, Phosphorus"
Sand,7.69,5.92,"Nitrogen, Potassium"
Silt Loam,28.75,20.96,"Phosphorus, Nitrogen, Potash"
Loamy Sand,11.9,9.38,"Organic Fertilizer, Nitrogen"
Clay Loam,38.0,29.73,"Nitrogen, Potassium, Phosphorus"
Sandy Loam,17.39,11.35,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loam,27.86,17.75,"Compost, Nitrogen, Phosphorus"
Loamy Sand,19.25,6.13,"Organic Fertilizer, Nitrogen"
Sandy Loam,16.32,11.41,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sand,10.79,2.57,"Nitrogen, Potassium"
Sandy Clay Loam,26.21,29.22,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay Loam,32.03,25.34,"Potash, Nitrogen, Micro-Nutrients"
Sandy Loam,21.96,14.76,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loamy Sand,18.32,8.95,"Organic Fertilizer, Nitrogen"
Sandy Loam,15.28,10.25,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sand,5.2,6.22,"Nitrogen, Potassium"
Sandy Loam,15.67,12.08,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Clay Loam,26.51,25.49,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,31.45,30.1,"Micro-Nutrients, Potash"
Silt Loam,33.08,24.03,"Phosphorus, Nitrogen, Potash"
Silt Loam,30.73,22.65,"Phosphorus, Nitrogen, Potash"
Sandy Loam,19.91,13.65,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay Loam,36.62,25.99,"Potash, Nitrogen, Micro-Nutrients"
Silt Loam,30.81,22.67,"Phosphorus, Nitrogen, Potash"
Clay,34.92,44.31,"Urea, Potassium, Nitrogen"
Sandy Loam,15.5,13.03,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Clay Loam,26.96,29.96,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,31.21,34.97,"Micro-Nutrients, Potash"
Clay Loam,31.67,29.36,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,31.49,22.22,"Potash, Nitrogen, Micro-Nutrients"
Sandy Loam,20.95,11.68,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Loam,20.97,12.98,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Clay Loam,34.36,26.93,"DAP (Diammonium Phosphate), Nitrogen"
Clay,33.44,47.44,"Urea, Potassium, Nitrogen"
Sandy Clay Loam,30.96,25.43,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,31.83,36.88,"Micro-Nutrients, Potash"
Silt Loam,25.11,21.74,"Phosphorus, Nitrogen, Potash"
Sand,6.41,6.79,"Nitrogen, Potassium"
Clay Loam,39.39,31.28,"Nitrogen, Potassium, Phosphorus"
Loamy Sand,16.4,9.29,"Organic Fertilizer, Nitrogen"
Sand,6.5,3.72,"Nitrogen, Potassium"
Silty Clay,37.73,39.38,"Micro-Nutrients, Potash"
Sandy Clay Loam,30.9,26.49,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,33.82,29.59,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,32.56,26.8,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,27.94,29.64,"DAP (Diammonium Phosphate), Nitrogen"
Clay Loam,34.46,34.43,"Nitrogen, Potassium, Phosphorus"
Sandy Loam,15.61,12.7,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay Loam,31.56,33.67,"Nitrogen, Potassium, Phosphorus"
Sandy Clay Loam,32.01,27.37,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay Loam,38.58,21.09,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,34.28,34.43,"Micro-Nutrients, Potash"
Loam,22.5,18.58,"Compost, Nitrogen, Phosphorus"
Silt Loam,31.05,15.33,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,34.69,27.32,"Potash, Nitrogen, Micro-Nutrients"
Clay,33.69,38.94,"Urea, Potassium, Nitrogen"
Silt Loam,29.58,16.66,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,33.21,27.2,"Potash, Nitrogen, Micro-Nutrients"
Loamy Sand,10.8,9.6,"Organic Fertilizer, Nitrogen"
Clay Loam,39.87,25.99,"Nitrogen, Potassium, Phosphorus"
Clay Loam,37.56,25.87,"Nitrogen, Potassium, Phosphorus"
Loam,21.67,16.31,"Compost, Nitrogen, Phosphorus"
Clay,34.43,42.0,"Urea, Potassium, Nitrogen"
Sandy Clay Loam,25.36,27.74,"DAP (Diammonium Phosphate), Nitrogen"
Loam,22.45,13.13,"Compost, Nitrogen, Phosphorus"
Sandy Loam,22.18,13.8,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay Loam,39.83,26.55,"Nitrogen, Potassium, Phosphorus"
Sand,6.04,3.86,"Nitrogen, Potassium"
Sandy Loam,17.04,14.4,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay,37.42,37.41,"Micro-Nutrients, Potash"
Clay Loam,34.64,29.25,"Nitrogen, Potassium, Phosphorus"
Sandy Loam,23.67,14.93,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Loam,23.54,13.94,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay Loam,31.02,30.36,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,36.68,25.86,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,31.68,34.12,"Micro-Nutrients, Potash"
Clay,29.17,39.17,"Urea, Potassium, Nitrogen"
Sand,7.54,6.29,"Nitrogen, Potassium"
Loam,27.3,17.85,"Compost, Nitrogen, Phosphorus"
Clay,34.93,39.44,"Urea, Potassium, Nitrogen"
Sand,8.96,6.58,"Nitrogen, Potassium"
Loamy Sand,19.3,5.91,"Organic Fertilizer, Nitrogen"
Silty Clay,33.6,35.24,"Micro-Nutrients, Potash"
Silty Clay Loam,31.03,29.66,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,33.07,30.31,"Micro-Nutrients, Potash"
Sandy Clay Loam,31.72,32.65,"DAP (Diammonium Phosphate), Nitrogen"
Sand,8.22,6.12,"Nitrogen, Potassium"
Sandy Loam,18.1,10.27,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silt Loam,32.76,23.7,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,33.89,27.01,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,29.09,32.25,"DAP (Diammonium Phosphate), Nitrogen"
Clay Loam,38.92,30.78,"Nitrogen, Potassium, Phosphorus"
Clay,33.18,49.74,"Urea, Potassium, Nitrogen"
Sandy Clay Loam,28.19,31.23,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Loam,22.96,10.28,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay Loam,31.16,24.63,"Potash, Nitrogen, Micro-Nutrients"
Loam,22.95,13.41,"Compost, Nitrogen, Phosphorus"
Clay Loam,32.93,29.19,"Nitrogen, Potassium, Phosphorus"
Loam,29.47,14.14,"Compost, Nitrogen, Phosphorus"
Silty Clay Loam,39.52,25.53,"Potash, Nitrogen, Micro-Nutrients"
Sand,7.48,3.21,"Nitrogen, Potassium"
Sandy Loam,16.48,14.51,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay,31.06,34.11,"Micro-Nutrients, Potash"
Silty Clay,32.5,31.53,"Micro-Nutrients, Potash"
Silty Clay,30.81,31.41,"Micro-Nutrients, Potash"
Loam,25.31,15.73,"Compost, Nitrogen, Phosphorus"
Silt Loam,33.59,24.4,"Phosphorus, Nitrogen, Potash"
Sandy Loam,16.06,10.94,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sand,11.07,5.15,"Nitrogen, Potassium"
Loam,24.06,15.1,"Compost, Nitrogen, Phosphorus"
Clay Loam,39.03,31.62,"Nitrogen, Potassium, Phosphorus"
Loamy Sand,15.07,7.31,"Organic Fertilizer, Nitrogen"
Silty Clay,39.16,31.08,"Micro-Nutrients, Potash"
Silty Clay,32.38,36.76,"Micro-Nutrients, Potash"
Silty Clay Loam,32.74,28.46,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,30.9,32.74,"Micro-Nutrients, Potash"
Silty Clay,30.85,32.2,"Micro-Nutrients, Potash"
Loam,27.09,15.95,"Compost, Nitrogen, Phosphorus"
Silty Clay,37.14,30.44,"Micro-Nutrients, Potash"
Silt Loam,25.13,21.76,"Phosphorus, Nitrogen, Potash"
Sandy Clay Loam,30.85,30.13,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay Loam,30.37,24.5,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,37.8,34.47,"Micro-Nutrients, Potash"
Silty Clay Loam,30.77,20.61,"Potash, Nitrogen, Micro-Nutrients"
Sand,14.34,2.64,"Nitrogen, Potassium"
Silty Clay,35.13,35.09,"Micro-Nutrients, Potash"
Clay Loam,31.18,33.41,"Nitrogen, Potassium, Phosphorus"
Silty Clay,37.05,34.57,"Micro-Nutrients, Potash"
Loamy Sand,10.87,7.86,"Organic Fertilizer, Nitrogen"
Silty Clay,33.31,34.44,"Micro-Nutrients, Potash"
Silty Clay,38.64,36.6,"Micro-Nutrients, Potash"
Clay Loam,38.33,33.28,"Nitrogen, Potassium, Phosphorus"
Sandy Clay Loam,30.52,32.43,"DAP (Diammonium Phosphate), Nitrogen"
Silt Loam,32.46,23.71,"Phosphorus, Nitrogen, Potash"
Clay,30.15,41.37,"Urea, Potassium, Nitrogen"
Sandy Clay Loam,32.69,26.83,"DAP (Diammonium Phosphate), Nitrogen"
Sand,12.84,2.16,"Nitrogen, Potassium"
Silt Loam,34.53,16.43,"Phosphorus, Nitrogen, Potash"
Loamy Sand,14.76,6.96,"Organic Fertilizer, Nitrogen"
Clay,29.97,38.82,"Urea, Potassium, Nitrogen"
Clay,33.91,42.97,"Urea, Potassium, Nitrogen"
Silt Loam,33.45,15.6,"Phosphorus, Nitrogen, Potash"
Sand,10.08,7.05,"Nitrogen, Potassium"
Silty Clay Loam,36.44,26.29,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,25.53,31.64,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay Loam,30.93,24.99,"Potash, Nitrogen, Micro-Nutrients"
Loam,22.83,13.09,"Compost, Nitrogen, Phosphorus"
Loam,29.46,15.49,"Compost, Nitrogen, Phosphorus"
Loamy Sand,16.9,9.13,"Organic Fertilizer, Nitrogen"
Silt Loam,31.45,19.24,"Phosphorus, Nitrogen, Potash"
Loam,22.98,15.6,"Compost, Nitrogen, Phosphorus"
Silt Loam,34.47,24.02,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,38.08,20.76,"Potash, Nitrogen, Micro-Nutrients"
Silt Loam,27.86,16.79,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,34.83,23.96,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay Loam,33.03,28.51,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,29.83,31.84,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,34.16,25.2,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Loam,17.78,10.68,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay,31.64,35.94,"Urea, Potassium, Nitrogen"
Clay Loam,31.26,31.08,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,32.7,25.01,"Potash, Nitrogen, Micro-Nutrients"
Sandy Loam,23.43,10.45,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Clay Loam,34.58,32.42,"DAP (Diammonium Phosphate), Nitrogen"
Clay Loam,30.28,26.04,"Nitrogen, Potassium, Phosphorus"
Silty Clay,36.45,35.36,"Micro-Nutrients, Potash"
Loamy Sand,18.77,7.03,"Organic Fertilizer, Nitrogen"
Sand,11.31,6.94,"Nitrogen, Potassium"
Sandy Clay Loam,29.7,31.81,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,37.63,36.49,"Micro-Nutrients, Potash"
Clay,28.12,38.28,"Urea, Potassium, Nitrogen"
Clay,31.83,36.38,"Urea, Potassium, Nitrogen"
Loam,20.8,12.92,"Compost, Nitrogen, Phosphorus"
Loam,26.38,16.89,"Compost, Nitrogen, Phosphorus"
Silty Clay Loam,30.57,23.19,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay Loam,30.49,25.2,"Potash, Nitrogen, Micro-Nutrients"
Clay Loam,31.55,26.44,"Nitrogen, Potassium, Phosphorus"
Clay,26.18,49.14,"Urea, Potassium, Nitrogen"
Clay Loam,38.22,32.59,"Nitrogen, Potassium, Phosphorus"
Clay,33.02,45.65,"Urea, Potassium, Nitrogen"
Silty Clay,31.6,37.85,"Micro-Nutrients, Potash"
Loamy Sand,11.44,8.35,"Organic Fertilizer, Nitrogen"
Clay,30.73,39.14,"Urea, Potassium, Nitrogen"
Silt Loam,32.78,18.5,"Phosphorus, Nitrogen, Potash"
Loam,23.31,17.01,"Compost, Nitrogen, Phosphorus"
Silty Clay,39.34,34.41,"Micro-Nutrients, Potash"
Clay,29.06,49.21,"Urea, Potassium, Nitrogen"
Silt Loam,33.12,23.63,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,37.12,20.91,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay Loam,38.0,20.26,"Potash, Nitrogen, Micro-Nutrients"
Silt Loam,29.18,22.47,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,35.55,25.26,"Potash, Nitrogen, Micro-Nutrients"
Silt Loam,26.65,20.12,"Phosphorus, Nitrogen, Potash"
Silty Clay,38.92,31.9,"Micro-Nutrients, Potash"
Loamy Sand,14.69,6.79,"Organic Fertilizer, Nitrogen"
Sand,13.3,5.18,"Nitrogen, Potassium"
Clay Loam,32.98,25.18,"Nitrogen, Potassium, Phosphorus"
Clay,26.81,40.91,"Urea, Potassium, Nitrogen"
Sandy Clay Loam,27.65,27.92,"DAP (Diammonium Phosphate), Nitrogen"
Loamy Sand,16.19,5.08,"Organic Fertilizer, Nitrogen"
Clay,33.3,47.42,"Urea, Potassium, Nitrogen"
Clay Loam,34.96,25.98,"Nitrogen, Potassium, Phosphorus"
Sandy Loam,19.37,13.21,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay,26.72,42.37,"Urea, Potassium, Nitrogen"
Clay Loam,37.75,27.9,"Nitrogen, Potassium, Phosphorus"
Silty Clay,31.98,34.61,"Micro-Nutrients, Potash"
Silty Clay Loam,30.3,20.56,"Potash, Nitrogen, Micro-Nutrients"
Clay,28.39,41.57,"Urea, Potassium, Nitrogen"
Clay,29.51,39.9,"Urea, Potassium, Nitrogen"
Clay Loam,34.48,31.61,"Nitrogen, Potassium, Phosphorus"
Clay Loam,37.07,32.75,"Nitrogen, Potassium, Phosphorus"
Silty Clay,31.16,32.05,"Micro-Nutrients, Potash"
Loam,27.96,17.69,"Compost, Nitrogen, Phosphorus"
Sandy Loam,17.98,10.55,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay,27.57,45.93,"Urea, Potassium, Nitrogen"
Silty Clay Loam,33.7,21.26,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,37.8,39.65,"Micro-Nutrients, Potash"
Silty Clay,37.12,35.83,"Micro-Nutrients, Potash"
Sandy Loam,21.69,11.61,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay Loam,35.42,23.76,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay Loam,34.05,25.81,"Potash, Nitrogen, Micro-Nutrients"
Sand,5.01,3.27,"Nitrogen, Potassium"
Sandy Loam,22.76,11.23,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loam,23.85,13.0,"Compost, Nitrogen, Phosphorus"
Sandy Loam,24.58,12.22,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay Loam,31.22,27.52,"Potash, Nitrogen, Micro-Nutrients"
Sandy Loam,20.43,14.54,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay,36.9,38.04,"Micro-Nutrients, Potash"
Loam,25.67,12.73,"Compost, Nitrogen, Phosphorus"
Silty Clay Loam,32.71,23.68,"Potash, Nitrogen, Micro-Nutrients"
Loamy Sand,10.28,8.22,"Organic Fertilizer, Nitrogen"
Loamy Sand,19.97,6.31,"Organic Fertilizer, Nitrogen"
Silty Clay,36.05,30.04,"Micro-Nutrients, Potash"
Loam,28.7,19.64,"Compost, Nitrogen, Phosphorus"
Silt Loam,34.2,17.48,"Phosphorus, Nitrogen, Potash"
Clay,26.89,46.69,"Urea, Potassium, Nitrogen"
Loamy Sand,15.21,8.08,"Organic Fertilizer, Nitrogen"
Sandy Loam,17.07,14.88,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silt Loam,25.2,21.37,"Phosphorus, Nitrogen, Potash"
Silt Loam,28.49,20.47,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,37.82,20.28,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,30.21,35.66,"Micro-Nutrients, Potash"
Sandy Clay Loam,29.5,31.35,"DAP (Diammonium Phosphate), Nitrogen"
Silt Loam,26.0,22.79,"Phosphorus, Nitrogen, Potash"
Sand,13.09,7.53,"Nitrogen, Potassium"
Sandy Loam,19.52,12.23,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silt Loam,26.72,16.25,"Phosphorus, Nitrogen, Potash"
Sand,14.88,4.56,"Nitrogen, Potassium"
Loamy Sand,17.36,6.01,"Organic Fertilizer, Nitrogen"
Clay,32.31,48.52,"Urea, Potassium, Nitrogen"
Loamy Sand,13.11,6.11,"Organic Fertilizer, Nitrogen"
Sand,9.32,4.55,"Nitrogen, Potassium"
Sandy Loam,18.93,13.83,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Loam,22.54,11.68,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Loam,22.87,13.32,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silt Loam,30.44,24.11,"Phosphorus, Nitrogen, Potash"
Sand,8.15,1.33,"Nitrogen, Potassium"
Clay,29.43,43.84,"Urea, Potassium, Nitrogen"
Clay,28.08,42.41,"Urea, Potassium, Nitrogen"
Loam,20.46,12.13,"Compost, Nitrogen, Phosphorus"
Sand,5.43,6.4,"Nitrogen, Potassium"
Loam,20.77,13.54,"Compost, Nitrogen, Phosphorus"
Sandy Clay Loam,26.13,33.89,"DAP (Diammonium Phosphate), Nitrogen"
Clay,28.81,46.92,"Urea, Potassium, Nitrogen"
Clay Loam,35.92,25.9,"Nitrogen, Potassium, Phosphorus"
Sand,8.3,5.25,"Nitrogen, Potassium"
Loamy Sand,18.73,5.4,"Organic Fertilizer, Nitrogen"
Sandy Loam,20.56,13.66,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sand,6.49,5.64,"Nitrogen, Potassium"
Loamy Sand,16.35,7.67,"Organic Fertilizer, Nitrogen"
Sandy Loam,15.26,11.19,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
